"disaster subtype",region,"disaster group",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
"Coastal flood","Northern Africa",Natural,1,12,0,0,0,0,0
"Coastal flood","Northern America",Natural,2,72,0,0,0,0,58000
"Coastal flood","Northern Europe",Natural,1,6,0,0,0,0,1000
"Coastal flood","South America",Natural,3,19,59500,418,10500,70418,0
"Coastal flood","South-Eastern Asia",Natural,22,1005,4656983,630,118309,4775922,751884
"Coastal flood","Southern Asia",Natural,7,620,11552974,10,422000,11974984,275000
"Coastal flood","Southern Europe",Natural,1,0,8000,0,0,8000,0
"Coastal flood","Western Africa",Natural,1,0,2000,0,0,2000,50
"Coastal flood","Western Asia",Natural,1,0,2800,0,0,2800,5500
"Coastal flood","Western Europe",Natural,2,2011,300350,0,0,300350,300000
"Cold wave","Central America",Natural,19,725,124493,0,16000,140493,584850
"Cold wave","Central Asia",Natural,4,30,600000,62,0,600062,0
"Cold wave","Eastern Asia",Natural,6,43,4701106,486,233000,4934592,372000
"Cold wave","Eastern Europe",Natural,65,4310,857974,6822,0,864796,115400
"Cold wave","Northern Africa",Natural,2,3,7500,105,0,7605,0
"Cold wave","Northern America",Natural,13,381,200,0,0,200,9060000
"Cold wave","Northern Europe",Natural,13,119,0,47,0,47,0
"Cold wave","South America",Natural,33,2196,2479092,1824867,0,4303959,1095000
"Cold wave","South-Eastern Asia",Natural,1,63,1000000,0,0,1000000,0
"Cold wave","Southern Africa",Natural,2,52,0,0,0,0,0
"Cold wave","Southern Asia",Natural,61,8223,536200,2425,0,538625,144133
"Cold wave","Southern Europe",Natural,22,546,89947,0,0,89947,1056901
"Cold wave","Western Africa",Natural,2,18,1000000,0,0,1000000,47000
"Cold wave","Western Asia",Natural,6,89,0,0,0,0,950000
"Cold wave","Western Europe",Natural,31,163,10000,165,0,10165,1252000
"Convective storm","Australia and New Zealand",Natural,36,44,478917,148,1045,480110,7946828
"Convective storm",Caribbean,Natural,4,13,223035,192,0,223227,1000160
"Convective storm","Central America",Natural,9,196,273602,354,8250,282206,12800
"Convective storm","Central Asia",Natural,1,0,0,0,0,0,0
"Convective storm","Eastern Africa",Natural,15,674,37085,283,17984,55352,5165
"Convective storm","Eastern Asia",Natural,106,2415,186435527,132562,1311266,187879355,14938917
"Convective storm","Eastern Europe",Natural,33,292,40512,285,32450,73247,622900
"Convective storm","Middle Africa",Natural,13,39,99407,205,8505,108117,157
"Convective storm","Northern Africa",Natural,7,154,132000,130,0,132130,301000
"Convective storm","Northern America",Natural,318,8097,279070,13232,47923,340225,161492200
"Convective storm","Northern Europe",Natural,13,56,20180,116,0,20296,2231500
"Convective storm",Polynesia,Natural,1,250,0,0,0,0,0
"Convective storm","Russian Federation",Natural,4,464,0,0,0,0,24000
"Convective storm","South America",Natural,39,452,441679,2022,137395,581096,218000
"Convective storm","South-Eastern Asia",Natural,21,200,66455,247,12824,79526,13105
"Convective storm","Southern Africa",Natural,20,124,130376,826,17400,148602,672041
"Convective storm","Southern Asia",Natural,92,5207,2130995,38028,477994,2647017,2468401
"Convective storm","Southern Europe",Natural,18,91,537700,152,46,537898,1306000
"Convective storm","Western Africa",Natural,11,218,84303,44,33660,118007,1200
"Convective storm","Western Asia",Natural,21,123,3260271,3711,10000,3273982,318200
"Convective storm","Western Europe",Natural,67,516,7540,764,800,9104,12337046
Drought,"Australia and New Zealand",Natural,12,600,7080000,0,0,7080000,11496000
Drought,Caribbean,Natural,26,0,4631762,0,0,4631762,197639
Drought,"Central America",Natural,38,41,9649261,0,0,9649261,2213400
Drought,"Central Asia",Natural,4,0,6400000,0,0,6400000,107000
