disaster_subtype;region;disaster_group;occurrence;Total_deaths;other_affected;Injured;Homeless;Total_affected;Total_damage;control_affected
--;Australia and New Zealand;Natural;78;158;3572858;192;1527;3574577;1663593;3574577
--;Caribbean;Natural;67;3370;3547185;950;159097;3707232;211889;3707232
--;Central America;Natural;87;45523;2471792;18896;62971;2553659;1150800;2553659
--;Central Asia;Natural;12;1557;82337;142;2096;84575;304734;84575
--;Eastern Africa;Natural;131;204835;10204480;1011;580354;10785845;459180;10785845
--;Eastern Asia;Natural;228;2275289;203314314;94774;15520499;218929587;23577084;218929587
--;Eastern Europe;Natural;47;1716;4250451;2762;3716;4256929;1504105;4256929
--;Melanesia;Natural;13;129;363369;0;50000;413369;55900;413369
--;Middle Africa;Natural;36;423;2694370;331;121490;2816191;1825;2816191
--;Northern Africa;Natural;71;6791;1726321;486;202652;1929459;385456;1929459
--;Northern America;Natural;264;8570;680152;1048;59910;741110;49132330;741110
--;Northern Europe;Natural;58;302;1035380;0;0;1035380;9338600;1035380
--;Polynesia;Natural;4;1;2700;2;30;2732;33200;2732
--;Russian Federation;Natural;13;2500110;81208;0;18586;99794;2556000;99794
--;South America;Natural;217;17302;23683575;10551;1762890;25457016;9244718;25457016
--;South-Eastern Asia;Natural;212;7858;27599644;251197;1095600;28946441;3109319;28946441
--;Southern Africa;Natural;30;828;194012;521;2365;196898;31050;196898
--;Southern Asia;Natural;369;106303;656742022;133384;16032164;672907570;18897116;672907570
--;Southern Europe;Natural;90;1927;1009565;2000;1537930;2549495;12730400;2549495
--;Western Africa;Natural;99;1835;2912600;440;442652;3355692;92921;3355692
--;Western Asia;Natural;56;1726;1053263;1144;164534;1218941;738870;1218941
--;Western Europe;Natural;137;658;735190;501;200;735891;30365800;735891
Ash fall;Australia and New Zealand;Natural;2;150;70;0;0;70;0;70
Ash fall;Caribbean;Natural;10;31599;110200;3;200;110403;8000;110403
Ash fall;Central America;Natural;37;13227;666916;810;18880;686606;124722;686606
Ash fall;Eastern Africa;Natural;10;88;316000;0;5200;321200;0;321200
Ash fall;Eastern Asia;Natural;15;515;98859;20;1100;99979;132000;99979
Ash fall;Melanesia;Natural;21;3515;212679;31;46000;258710;110000;258710
Ash fall;Middle Africa;Natural;6;2130;12500;837;170510;183847;9000;183847
Ash fall;Northern America;Natural;2;90;0;0;2500;2500;860000;2500
Ash fall;Northern Europe;Natural;5;0;5200;0;0;5200;41200;5200
Ash fall;Polynesia;Natural;1;0;2500;0;0;2500;0;2500
Ash fall;Russian Federation;Natural;1;0;0;0;0;0;0;0
Ash fall;South America;Natural;38;22942;752611;5026;9600;767237;1279975;767237
Ash fall;South-Eastern Asia;Natural;82;21306;2961016;4919;102800;3068735;762351;3068735
Ash fall;Southern Europe;Natural;5;735;7000;24;14000;21024;3100;21024
Ash fall;Western Africa;Natural;1;0;1300;6;5000;6306;0;6306
Ash fall;Western Asia;Natural;1;6;0;15;0;15;0;15
